GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist
1,453851.8942,6071960.507,42.4592,2.2292,20160927,2.26200079306041,0.0328007930604084,19.6339431245592,4.17250706907438,23.8879257904111
2,453851.8707,6071961.374,42.4683,2.2383,20160927,2.26247042604755,0.0241704260475513,18.984539669906,4.99280903780918,23.595904862095
3,453851.8332,6071962.035,42.4742,2.2442,20160927,2.27756464834464,0.0333646483446395,18.514602612175,5.63338387128374,23.3943882553997
4,453851.7716,6071962.975,42.4793,2.2493,20160927,2.28813143596138,0.0388314359613844,17.8730753729485,6.55385210047446,23.127724032471
5,453851.6833,6071963.951,42.4827,2.2527,20160927,2.28614945246097,0.0334494524609674,17.2539822494913,7.52100620227473,22.883843838648
6,453851.6856,6071964.674,42.505,2.275,20160927,2.31034328402102,0.0353432840210171,16.7665819936634,8.22436241624061,22.6783873324923
7,453851.575,6071965.649,42.5109,2.2809,20160927,2.31391526451455,0.0330152645145456,16.2261949568691,9.20058894870412,22.4834967713027
8,453851.4613,6071966.682,42.5074,2.2774,20160927,2.31772955245474,0.0403295524547356,15.6975053412316,10.2352500746058,22.2994941609823
9,453851.4381,6071967.712,42.5164,2.2864,20160927,2.3036447604954,0.0172447604954047,15.1462602420561,11.2510237941017,22.0891930800945
10,453851.3445,6071968.738,42.5009,2.2709,20160927,2.29210320867891,0.0212032086789056,14.7106166548667,12.2773259403867,21.9469035300533
11,453851.2403,6071969.75,42.4656,2.2356,20160927,2.25807116436545,0.02247116436545,14.3513778318098,13.0929813293574,21.8403860434538
12,453851.1363,6071970.649,42.4431,2.2131,20160927,2.2388083685154,0.0257083685153972,14.0969612187191,13.1429700863332,21.775621325028
13,453851.0837,6071971.565,42.43,2.2,20160927,2.21752688630535,0.0175268863053475,13.8427946841314,13.2040886353596,21.699688616323
14,453851.0698,6071972.601,42.4269,2.1969,20160927,2.21812730056502,0.0212273005650174,13.5798916523141,13.3038338849917,21.6130942369363
15,453851.0387,6071973.552,42.4154,2.1854,20160927,2.21751141773776,0.0321114177377564,13.4227746884512,13.483110238039,21.5704610226704
16,453851.0164,6071974.511,42.4059,2.1759,20160927,2.21211382851224,0.0362138285122358,13.3223783589668,13.7197012707419,21.5469296260277
17,453851.0142,6071975.518,42.4189,2.1889,20160927,2.21310903714838,0.0242090371483843,13.2696515761896,14.014491522746,21.5362376662168
18,453850.9956,6071976.574,42.4139,2.1839,20160927,2.18846463581157,0.00456463581157163,13.3125706410127,14.0854228321683,21.5650506462783
19,453850.9629,6071977.496,42.3774,2.1474,20160927,2.17750490685589,0.0301049068558941,13.4344010506722,13.875658845987,21.6254415138838
20,453850.9291,6071978.35,42.3684,2.1384,20160927,2.17654654393046,0.0381465439304556,13.6056524474127,13.737355087965,21.7042494258474
21,453850.9386,6071979.285,42.3686,2.1386,20160927,2.16874768155215,0.0301476815521475,13.8063649092073,13.5995874187716,21.7843319708329
22,453850.9497,6071980.052,42.3666,2.1366,20160927,2.17809682218829,0.0414968221882908,14.0123674683951,13.5305394604485,21.8655501806724
23,453850.9122,6071980.892,42.365,2.135,20160927,2.161084085803,0.0260840858030029,14.3282270646838,13.5542462660259,22.0030205889938
24,453850.8993,6071981.979,42.3393,2.1093,20160927,2.1576894758562,0.0483894758562013,14.7657014644706,13.6264243839442,22.1861986179158
25,453850.867,6071982.891,42.3223,2.0923,20160927,2.13652858143597,0.0442285814359722,15.2020983236058,13.502390973503,22.3762490534424
26,453850.874,6071983.599,42.3111,2.0811,20160927,2.12915967230982,0.0480596723098197,15.5416725113305,12.8265230279921,22.5185050406916
