GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist
2732,453869.9538,6071964.438,44.022,3.792,20160926,3.85936375482859,0.0673637548285901,12.6450379471899,8.66596131084746,19.9212305385796
2733,453870.0437,6071965.204,44.0368,3.8068,20160926,3.87426145422814,0.0674614542281411,12.0082246400365,8.16616799316038,19.6700818482513
2734,453870.1402,6071966.014,44.0372,3.8072,20160926,3.85887701857638,0.0516770185763833,11.3537262317491,7.68774811225043,19.4213908884942
2735,453870.2498,6071966.857,44.0397,3.8097,20160926,3.87127524032984,0.0615752403298417,10.7012337585909,7.26156760226841,19.1850369648558
2736,453870.2961,6071967.737,44.0509,3.8209,20160926,3.88039226752532,0.0594922675253184,10.0105980137916,6.84080800873013,18.9366245332972
2737,453870.3427,6071968.698,44.0565,3.8265,20160926,3.89904805746622,0.0725480574662178,9.29070255350908,6.48404035234946,18.6909475483528
2738,453870.3847,6071969.596,44.0693,3.8393,20160926,3.90366386796395,0.0643638679639467,8.6595373665991,6.26537932534015,18.4888980085154
2739,453870.3976,6071970.445,44.0935,3.8635,20160926,3.92230771191095,0.0588077119109474,8.08913212089321,6.14627950551332,18.3140483091809
2740,453870.4134,6071971.234,44.1022,3.8722,20160926,3.94191619044857,0.0697161904485744,7.60888283984802,6.14348879383312,18.1772455152904
2741,453870.4189,6071972.085,44.1159,3.8859,20160926,3.94861547207068,0.0627154720706806,7.14269767350052,6.24177123973055,18.0514647615471
2742,453870.4319,6071972.975,44.1434,3.9134,20160926,3.9615024108626,0.0481024108625969,6.74274808889398,6.47081900595713,17.9518012548793
2743,453870.4461,6071973.833,44.1508,3.9208,20160926,3.97376754143699,0.0529675414369861,6.45224818098534,6.79700494384612,17.8833254204409
2744,453870.4876,6071974.731,44.1525,3.9225,20160926,3.99881895937508,0.0763189593750835,6.28704062373885,7.25509529613085,17.8495633415836
2745,453870.4882,6071975.593,44.171,3.941,20160926,3.99979200998331,0.0587920099833124,6.20793279204317,7.73606716888878,17.8258917236754
2746,453870.5277,6071976.508,44.1778,3.9478,20160926,4.01210859228043,0.0643085922804341,6.29278194444543,7.36742338184463,17.8429899145134
2747,453870.5224,6071977.364,44.1828,3.9528,20160926,4.01154729234829,0.0587472923482917,6.44833706755604,6.91237981887441,17.8662794195985
2748,453870.5111,6071978.132,44.1889,3.9589,20160926,4.019921828212,0.0610218282120041,6.67270152091632,6.56651880445879,17.9055186926295
2749,453870.4847,6071978.996,44.1983,3.9683,20160926,4.02027021410592,0.0519702141059168,7.00551169204079,6.25459767601971,17.9690286014832
2750,453870.5053,6071979.85,44.1788,3.9488,20160926,4.0211241625306,0.0723241625305993,7.45817021769348,6.09898025007248,18.0782328400821
2751,453870.5152,6071980.668,44.1856,3.9556,20160926,4.03294050319094,0.0773405031909413,7.94614697059524,6.05025586566403,18.2050134079723
2752,453870.5097,6071981.535,44.1848,3.9548,20160926,4.03194328082373,0.0771432808237305,8.50706387264998,6.102923814833,18.3611416328855
2753,453870.5238,6071982.36,44.1935,3.9635,20160926,4.01765716194257,0.0541571619425678,9.09883952414512,6.28367833682285,18.5434705763044
2754,453870.5022,6071983.159,44.1914,3.9614,20160926,4.02331753669026,0.0619175366902627,9.68180743185024,6.52104353909803,18.7295701926852
2755,453870.4811,6071983.926,44.1867,3.9567,20160926,4.02277902763768,0.066079027637683,10.2686364357789,6.82929595261361,18.9282993717298
2756,453870.4474,6071984.734,44.1733,3.9433,20160926,4.00319310694864,0.0598931069486417,10.9045948696141,7.21877481017722,19.1534236044746
2757,453870.3922,6071985.636,44.1543,3.9243,20160926,3.98944310916587,0.0651431091658661,11.6306473370641,7.71719274333653,19.4213320080871
2758,453870.3679,6071986.417,44.1266,3.8966,20160926,3.97552153642639,0.0789215364263915,12.289980712949,8.22173688538396,19.6786896344981
2759,453870.3295,6071987.211,44.1146,3.8846,20160926,3.96131914332759,0.076719143327586,12.9677964470685,8.76719163983057,19.9518892702228
2760,453870.2848,6071988.052,44.101,3.871,20160926,3.95025454619962,0.0792545461996155,13.6977063755192,8.3937956992068,20.2572620142878
2761,453870.2402,6071988.841,44.0821,3.8521,20160926,3.91621664467177,0.0641166446717731,14.392535646866,7.7822761350229,20.5592189429212
2762,453870.189,6071989.65,44.056,3.826,20160926,3.90482160983813,0.0788216098381325,15.1125782859676,7.19519263102473,20.884385046134
2763,453870.1654,6071990.473,44.0467,3.8167,20160926,3.87743195557328,0.0607319555732784,15.8645991651903,6.62546962556655,21.2404516863212
2764,453870.1308,6071991.325,44.0401,3.8101,20160926,3.88119331595439,0.0710933159543941,16.6466536141867,6.10516214689385,21.6278534676773
2765,453870.0982,6071992.104,44.0313,3.8013,20160926,3.85802034573521,0.0567203457352128,17.3671986194527,5.7007746876282,22.0030144658999
2766,453870.0907,6071992.964,44.0129,3.7829,20160926,3.84203721885683,0.0591372188568333,18.1774215567125,5.3252873435873,22.4486457328104
2767,453870.069,6071993.827,44.0114,3.7814,20160926,3.83234140531291,0.0509414053129089,18.9905501786906,5.0824452777189,22.9239089929129
2768,453870.0669,6071994.619,44.0038,3.7738,20160926,3.80976280366271,0.0359628036627124,19.7457411892221,4.96453585043148,23.3924224737205
2769,453870.0693,6071995.488,43.9832,3.7532,20160926,3.79064219635814,0.0374421963581448,20.5788607731964,4.97429871336677,23.9409286599021
2770,453870.0532,6071996.332,43.9481,3.7181,20160926,3.77756313553745,0.0594631355374471,21.3857649281071,5.14454497892716,24.5043285777154
2771,453870.0235,6071997.117,43.9496,3.7196,20160926,3.76374203314495,0.0441420331449538,22.1349317295164,5.43090409115869,25.0536897339016
2772,453870.0303,6071997.89,43.9364,3.7064,20160926,3.75358518306053,0.0471851830605288,22.8840603836932,5.77252001183487,25.623355796705
2773,453870.0294,6071998.719,43.9238,3.6938,20160926,3.74071160902532,0.0469116090253174,23.6871772732931,6.2318821358697,26.2555281808652
2774,453870.042,6071999.554,43.9143,3.6843,20160926,3.72952536990193,0.0452253699019347,24.5010218578839,6.75614357410153,26.9147507242913
2775,453870.0451,6072000.314,43.9118,3.6818,20160926,3.7262746885793,0.0444746885793026,25.241061395882,7.28962512141252,27.52860313531
2776,453870.0418,6072001.16,43.9352,3.7052,20160926,3.74785754211611,0.0426575421161108,26.0647010881785,7.93130143415821,28.2254132944066
