GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist,Internal
1,453851.8942,6071960.507,42.4592,2.2292,20160927,2.22813183806105,-0.00106816193895432,19.6339431245592,4.17250706907438,23.8879257904111,0
2,453851.8707,6071961.374,42.4683,2.2383,20160927,2.24997092421535,0.0116709242153479,18.984539669906,4.99280903780918,23.595904862095,0
3,453851.8332,6071962.035,42.4742,2.2442,20160927,2.26425385345209,0.020053853452088,18.514602612175,5.63338387128374,23.3943882553997,0
4,453851.7716,6071962.975,42.4793,2.2493,20160927,2.27450960124029,0.0252096012402925,17.8730753729485,6.55385210047446,23.127724032471,0
5,453851.6833,6071963.951,42.4827,2.2527,20160927,2.29854278379262,0.0458427837926227,17.2539822494913,7.52100620227473,22.883843838648,0
6,453851.6856,6071964.674,42.505,2.275,20160927,2.31702113787185,0.0420211378718487,16.7665819936634,8.22436241624061,22.6783873324923,0
7,453851.575,6071965.649,42.5109,2.2809,20160927,2.32218072789897,0.0412807278989717,16.2261949568691,9.20058894870412,22.4834967713027,0
8,453851.4613,6071966.682,42.5074,2.2774,20160927,2.30991458287761,0.0325145828776074,15.6975053412316,10.2352500746058,22.2994941609823,0
9,453851.4381,6071967.712,42.5164,2.2864,20160927,2.30694828505307,0.0205482850530707,15.1462602420561,11.2510237941017,22.0891930800945,0
10,453851.3445,6071968.738,42.5009,2.2709,20160927,2.29334714363344,0.0224471436334381,14.7106166548667,12.2773259403867,21.9469035300533,0
11,453851.2403,6071969.75,42.4656,2.2356,20160927,2.2758658982331,0.0402658982330983,14.3513778318098,13.0929813293574,21.8403860434538,0
12,453851.1363,6071970.649,42.4431,2.2131,20160927,2.2482993049084,0.0351993049084021,14.0969612187191,13.1429700863332,21.775621325028,0
13,453851.0837,6071971.565,42.43,2.2,20160927,2.22211465209118,0.0221146520911764,13.8427946841314,13.2040886353596,21.699688616323,0
14,453851.0698,6071972.601,42.4269,2.1969,20160927,2.22801471365698,0.0311147136569829,13.5798916523141,13.3038338849917,21.6130942369363,0
15,453851.0387,6071973.552,42.4154,2.1854,20160927,2.22433512308496,0.0389351230849608,13.4227746884512,13.483110238039,21.5704610226704,0
16,453851.0164,6071974.511,42.4059,2.1759,20160927,2.211701037776,0.0358010377760025,13.3223783589668,13.7197012707419,21.5469296260277,0
17,453851.0142,6071975.518,42.4189,2.1889,20160927,2.21446653382406,0.0255665338240645,13.2696515761896,14.014491522746,21.5362376662168,0
18,453850.9956,6071976.574,42.4139,2.1839,20160927,2.19577919186992,0.0118791918699208,13.3125706410127,14.0854228321683,21.5650506462783,0
19,453850.9629,6071977.496,42.3774,2.1474,20160927,2.17762276228717,0.0302227622871745,13.4344010506722,13.875658845987,21.6254415138838,0
20,453850.9291,6071978.35,42.3684,2.1384,20160927,2.16914916108393,0.0307491610839348,13.6056524474127,13.737355087965,21.7042494258474,0
21,453850.9386,6071979.285,42.3686,2.1386,20160927,2.16690964722497,0.0283096472249738,13.8063649092073,13.5995874187716,21.7843319708329,0
22,453850.9497,6071980.052,42.3666,2.1366,20160927,2.17318540155309,0.0365854015530878,14.0123674683951,13.5305394604485,21.8655501806724,0
23,453850.9122,6071980.892,42.365,2.135,20160927,2.15712785781013,0.0221278578101272,14.3282270646838,13.5542462660259,22.0030205889938,0
24,453850.8993,6071981.979,42.3393,2.1093,20160927,2.15202492981805,0.0427249298180548,14.7657014644706,13.6264243839442,22.1861986179158,0
25,453850.867,6071982.891,42.3223,2.0923,20160927,2.1482005348799,0.0559005348799033,15.2020983236058,13.502390973503,22.3762490534424,0
26,453850.874,6071983.599,42.3111,2.0811,20160927,2.1344500058271,0.0533500058270979,15.5416725113305,12.8265230279921,22.5185050406916,0
27,453850.8967,6071984.5,42.3378,2.1078,20160927,2.14004035106693,0.0322403510669251,15.9971777573527,11.9671532323967,22.7090055726308,0
28,453850.9796,6071985.48,42.3412,2.1112,20160927,2.14501058685191,0.0338105868519123,16.4872053183988,11.0190974652369,22.9035612817284,0
29,453851.0893,6071986.499,42.3459,2.1159,20160927,2.15094423888462,0.035044238884621,17.0238241021965,10.0315582982451,23.1164869959899,0
30,453851.1877,6071987.46,42.3491,2.1191,20160927,2.15844174102698,0.0393417410269765,17.5734716527799,9.10986086001123,23.3428913215325,0
31,453851.2622,6071988.485,42.3568,2.1268,20160927,2.1625435588383,0.0357435588383028,18.2197341864192,8.1517251814318,23.6257754075977,0
32,453851.3661,6071989.559,42.3557,2.1257,20160927,2.17520559076318,0.0495055907631823,18.9154552309761,7.15563826673566,23.9329475804039,0
33,453851.488,6071990.556,42.3779,2.1479,20160927,2.1887705198841,0.0408705198841002,19.5757546326269,6.24162158419224,24.2274405999958,0
34,453851.6019,6071991.518,42.3959,2.1659,20160927,2.19908805296158,0.0331880529615831,20.2420537196403,5.39256662525114,24.5367033505946,0
35,453851.7455,6071992.579,42.4088,2.1788,20160927,2.21556328092217,0.0367632809221727,20.9934985020019,4.49970212901442,24.8960444507948,0
36,453851.8721,6071993.644,42.4155,2.1855,20160927,2.21708286788657,0.0315828678865708,21.7846452835173,3.71398858485329,25.3029529678266,0
37,453851.9934,6071994.728,42.4407,2.2107,20160927,2.24914427403367,0.0384442740336661,22.6178357217934,3.10347011582012,25.7710654231976,0
38,453852.0644,6071995.747,42.4622,2.2322,20160927,2.27251071493669,0.0403107149366928,23.4427629959475,2.8517095855421,26.2999067419847,0
