GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist,Internal
1,453851.8942,6071960.507,42.4592,2.2292,20160927,2.26655785954798,0.0373578595479764,19.6339431245592,4.17250706907438,23.8879257904111,0
2,453851.8707,6071961.374,42.4683,2.2383,20160927,2.26928786826503,0.0309878682650249,18.984539669906,4.99280903780918,23.595904862095,0
3,453851.8332,6071962.035,42.4742,2.2442,20160927,2.27645104335974,0.0322510433597358,18.514602612175,5.63338387128374,23.3943882553997,0
4,453851.7716,6071962.975,42.4793,2.2493,20160927,2.28798151475848,0.0386815147584829,17.8730753729485,6.55385210047446,23.127724032471,0
5,453851.6833,6071963.951,42.4827,2.2527,20160927,2.30145760110838,0.048757601108385,17.2539822494913,7.52100620227473,22.883843838648,0
6,453851.6856,6071964.674,42.505,2.275,20160927,2.31561391931555,0.0406139193155495,16.7665819936634,8.22436241624061,22.6783873324923,0
7,453851.575,6071965.649,42.5109,2.2809,20160927,2.33046164903141,0.0495616490314088,16.2261949568691,9.20058894870412,22.4834967713027,0
8,453851.4613,6071966.682,42.5074,2.2774,20160927,2.3237369509969,0.0463369509968956,15.6975053412316,10.2352500746058,22.2994941609823,0
9,453851.4381,6071967.712,42.5164,2.2864,20160927,2.31168586236461,0.0252858623646062,15.1462602420561,11.2510237941017,22.0891930800945,0
10,453851.3445,6071968.738,42.5009,2.2709,20160927,2.28109887504952,0.0101988750495186,14.7106166548667,12.2773259403867,21.9469035300533,0
11,453851.2403,6071969.75,42.4656,2.2356,20160927,2.25265432821841,0.0170543282184146,14.3513778318098,13.0929813293574,21.8403860434538,0
12,453851.1363,6071970.649,42.4431,2.2131,20160927,2.21794967711128,0.00484967711128448,14.0969612187191,13.1429700863332,21.775621325028,0
13,453851.0837,6071971.565,42.43,2.2,20160927,2.20932972584358,0.00932972584358227,13.8427946841314,13.2040886353596,21.699688616323,0
14,453851.0698,6071972.601,42.4269,2.1969,20160927,2.19967475236898,0.00277475236897695,13.5798916523141,13.3038338849917,21.6130942369363,0
15,453851.0387,6071973.552,42.4154,2.1854,20160927,2.21140054224036,0.0260005422403564,13.4227746884512,13.483110238039,21.5704610226704,0
16,453851.0164,6071974.511,42.4059,2.1759,20160927,2.19475576464159,0.0188557646415926,13.3223783589668,13.7197012707419,21.5469296260277,0
17,453851.0142,6071975.518,42.4189,2.1889,20160927,2.19838690480141,0.00948690480140746,13.2696515761896,14.014491522746,21.5362376662168,0
18,453850.9956,6071976.574,42.4139,2.1839,20160927,2.17494684698409,-0.0089531530159066,13.3125706410127,14.0854228321683,21.5650506462783,0
19,453850.9629,6071977.496,42.3774,2.1474,20160927,2.16250589581445,0.0151058958144494,13.4344010506722,13.875658845987,21.6254415138838,0
20,453850.9291,6071978.35,42.3684,2.1384,20160927,2.16171582318073,0.023315823180734,13.6056524474127,13.737355087965,21.7042494258474,0
21,453850.9386,6071979.285,42.3686,2.1386,20160927,2.15791480224858,0.0193148022485805,13.8063649092073,13.5995874187716,21.7843319708329,0
22,453850.9497,6071980.052,42.3666,2.1366,20160927,2.15912141721518,0.0225214172151778,14.0123674683951,13.5305394604485,21.8655501806724,0
23,453850.9122,6071980.892,42.365,2.135,20160927,2.14683973310307,0.0118397331030691,14.3282270646838,13.5542462660259,22.0030205889938,0
24,453850.8993,6071981.979,42.3393,2.1093,20160927,2.13020249177283,0.0209024917728273,14.7657014644706,13.6264243839442,22.1861986179158,0
25,453850.867,6071982.891,42.3223,2.0923,20160927,2.13424779477119,0.0419477947711924,15.2020983236058,13.502390973503,22.3762490534424,0
26,453850.874,6071983.599,42.3111,2.0811,20160927,2.12134507712231,0.0402450771223095,15.5416725113305,12.8265230279921,22.5185050406916,0
27,453850.8967,6071984.5,42.3378,2.1078,20160927,2.12445427089807,0.0166542708980675,15.9971777573527,11.9671532323967,22.7090055726308,0
28,453850.9796,6071985.48,42.3412,2.1112,20160927,2.12596770676582,0.0147677067658183,16.4872053183988,11.0190974652369,22.9035612817284,0
